# imagePath|totalRuntimeMs|firstSeenTick|lastSeenTick
C|656187097|13106671|8082921
D|105943992|13106671|8082921
C|70683270|17612843|8082921
C|45639372|13106671|8082921
C|40883652|13106671|8082921
C|32537393|13106671|3840906
C|25297188|8384078|8384078
C|25238052|8684531|8684531
C|25202604|8984562|8984562
C|23407314|13106671|5074812
C|21058498|13106671|8082921
C|17468483|13106671|8082921
C|17327660|3372687|5074812
C|16812656|13106671|8082921
D|15713607|13106671|8082921
C|15213124|13106671|8082921
C|15213124|13106671|8082921
C|15213124|13106671|8082921
C|15213124|13106671|8082921
C|14729062|13106671|8082921
C|10219922|13106671|8082921
C|10068750|1302984|5074812
D|7925346|13106671|13929484
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7606562|13106671|8082921
C|7325578|13106671|8082921
C|7306125|13106671|3840906
C|7111703|13599750|3840906
D|7005062|13106671|8082921
C|6725968|1302984|8082921
C|6725968|1302984|8082921
